poi_id,ict_id,radio_type,ground_distance,antenna_los_distance,azimuth_angle,geometry,is_visible,num_visible,order
23dd6a45-3656-435b-b3b1-c16efab9daeb,f7412e93-8fb4-4abf-a298-8fb0876a97f5,4G,1502,1503,189.86,"LINESTRING (1.561872175 39.00777101, 1.5588949736709776 38.994459016552206)",True,3,1
23dd6a45-3656-435b-b3b1-c16efab9daeb,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,4G,1784,1784,269.23,"LINESTRING (1.561872175 39.00777101, 1.5412244794154777 39.00755451913546)",True,3,2
23dd6a45-3656-435b-b3b1-c16efab9daeb,4ea23bde-9f03-4e96-871d-59276323e1c2,3G,2598,2598,211.66,"LINESTRING (1.561872175 39.00777101, 1.546099731137311 38.98788510647062)",True,3,3
e13a657c-edf0-4013-92db-6c70136e3ac9,8a4cfe6a-ce1a-4096-84dc-be09b32b8567,4G,4814,4825,143.54,"LINESTRING (1.2754202 38.90685783, 1.3084716333709348 38.87203255905634)",True,1,1
de75c87b-2676-47be-8454-4c44c4e6f644,9429f910-1d6b-4e52-8bb4-6f331d21e7ee,4G,646,647,42.92,"LINESTRING (1.353724734 38.99313359, 1.3588171033359042 38.99738951073758)",True,3,1
de75c87b-2676-47be-8454-4c44c4e6f644,82e53aaa-57c5-4437-898c-3c8d5c2e8336,3G,1086,1087,207.77,"LINESTRING (1.353724734 38.99313359, 1.3478684724215728 38.98448764654776)",True,3,2
de75c87b-2676-47be-8454-4c44c4e6f644,2fb90cc1-38d3-4aa7-951c-b9a823a63822,4G,2346,2354,26.53,"LINESTRING (1.353724734 38.99313359, 1.3658495004119788 39.01200672696945)",True,3,3
4267fc81-0e9f-40ca-84c8-84529958dc22,0334328f-7fcf-4c40-8570-8a2587488d22,2G,1066,1066,45.86,"LINESTRING (1.525952107 39.00426587, 1.5348033104062826 39.010938799772056)",True,3,1
4267fc81-0e9f-40ca-84c8-84529958dc22,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,4G,1369,1370,74.51,"LINESTRING (1.525952107 39.00426587, 1.5412244794154777 39.00755451913546)",True,3,2
4267fc81-0e9f-40ca-84c8-84529958dc22,bb91980b-c9bb-46ba-81f5-3f18f4540ef8,4G,2108,2108,42.61,"LINESTRING (1.525952107 39.00426587, 1.5424678462297283 39.01821607967085)",True,3,3
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,9c3f9c22-3cdb-41ce-8c9d-f52ce96c4daa,4G,462,462,243.14,"LINESTRING (1.323312356 38.95676889, 1.318550784344911 38.9548935512878)",True,3,1
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,c792a57c-917b-4ecf-8e8f-c89f26361d6b,4G,2404,2410,214.74,"LINESTRING (1.323312356 38.95676889, 1.3074686023842217 38.93899999540557)",True,3,3
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,1fd92561-71d6-4f82-a50b-314eaeb2bb3a,4G,2273,2273,294.79,"LINESTRING (1.323312356 38.95676889, 1.2994456145350086 38.96533694633572)",True,3,2
eadb65ff-99dc-4bd3-bb21-619a55a73b34,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,2G,836,836,162.31,"LINESTRING (1.427518529 38.9399882, 1.4304547494166149 38.932825348001465)",True,3,1
eadb65ff-99dc-4bd3-bb21-619a55a73b34,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,4G,2361,2361,41.84,"LINESTRING (1.427518529 38.9399882, 1.4457286594381331 38.95580263820795)",True,3,2
eadb65ff-99dc-4bd3-bb21-619a55a73b34,67e2292b-3bf5-4de7-b734-38b4ad706039,4G,2556,2557,66.67,"LINESTRING (1.427518529 38.9399882, 1.4546617249181488 38.94908719708347)",True,3,3
8d7cbf69-616c-435f-a1bf-b46db1f2b1a2,,,,,,,False,0,1
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,f448eb06-a5b3-4343-859c-5a2d27ffe253,3G,5310,5310,337.86,"LINESTRING (1.370773233 38.83495517, 1.3476573236181475 38.879183893491856)",True,3,1
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,1dd90c1d-0d75-418a-a917-ce7bb138c9c9,4G,5619,5619,337.47,"LINESTRING (1.370773233 38.83495517, 1.3459036381013685 38.881627533633335)",True,3,2
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,1f80e199-c0dd-4090-944a-d857d689ee0f,3G,5656,5656,317.07,"LINESTRING (1.370773233 38.83495517, 1.3262742986742686 38.8721881823533)",True,3,3
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,b73da8f1-6805-465c-813c-48d491331849,3G,1198,1199,3.1,"LINESTRING (1.418358779 38.97066928, 1.4191074273650623 38.98142782247335)",True,3,1
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,23131082-f9bf-4ab5-91b3-23111c4bf241,4G,1643,1645,93.96,"LINESTRING (1.418358779 38.97066928, 1.437323756024553 38.96964746065793)",True,3,2
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,0222b6a7-350c-46b2-95fd-a3e1c61ee847,4G,1853,1853,68.9,"LINESTRING (1.418358779 38.97066928, 1.4383532678871531 38.97666489861615)",True,3,3
249cd328-89bc-4d29-a98f-1c733aae4201,82e53aaa-57c5-4437-898c-3c8d5c2e8336,3G,512,513,272.32,"LINESTRING (1.353788387 38.98430143, 1.3478684724215728 38.98448764654776)",True,3,1
249cd328-89bc-4d29-a98f-1c733aae4201,9429f910-1d6b-4e52-8bb4-6f331d21e7ee,4G,1519,1519,16.63,"LINESTRING (1.353788387 38.98430143, 1.3588171033359042 38.99738951073758)",True,3,2
249cd328-89bc-4d29-a98f-1c733aae4201,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,4G,1646,1646,132.21,"LINESTRING (1.353788387 38.98430143, 1.3678924622333437 38.97435594411141)",True,3,3
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,4G,1352,1352,34.37,"LINESTRING (1.359063479 38.96432194, 1.3678924622333437 38.97435594411141)",True,3,1
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,786cabc6-e800-409d-931f-fe3d1e33b522,4G,1506,1506,51.55,"LINESTRING (1.359063479 38.96432194, 1.3727026472159556 38.97274207311786)",True,3,2
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,82e53aaa-57c5-4437-898c-3c8d5c2e8336,3G,2442,2443,336.66,"LINESTRING (1.359063479 38.96432194, 1.3478684724215728 38.98448764654776)",True,3,3
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,5e5a6033-d6d3-452d-870a-2f2b95388811,3G,538,538,79.25,"LINESTRING (1.391227572 38.9608426, 1.397337762626169 38.96174468225223)",True,3,1
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,dcd0ccdd-5496-41bc-bf1f-94f983a16853,4G,760,762,216.95,"LINESTRING (1.391227572 38.9608426, 1.3859462474310846 38.9553818576673)",True,3,2
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,cf18352b-f1f9-47e4-877a-8cc1b7cca651,4G,1651,1652,335.68,"LINESTRING (1.391227572 38.9608426, 1.3833604193535785 38.974372986696494)",True,3,3
c961624c-546e-4375-8360-6d75bc188022,,,,,,,False,0,1
1914138c-459b-4d5d-8aff-23f1aca8965c,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,4G,412,413,317.79,"LINESTRING (1.448931843 38.95305666, 1.4457286594381331 38.95580263820795)",True,3,1
1914138c-459b-4d5d-8aff-23f1aca8965c,67e2292b-3bf5-4de7-b734-38b4ad706039,4G,664,664,131.69,"LINESTRING (1.448931843 38.95305666, 1.4546617249181488 38.94908719708347)",True,3,2
1914138c-459b-4d5d-8aff-23f1aca8965c,23131082-f9bf-4ab5-91b3-23111c4bf241,4G,2100,2100,331.46,"LINESTRING (1.448931843 38.95305666, 1.437323756024553 38.96964746065793)",True,3,3
ef6eb534-04e9-4265-bc5b-1543f3452634,86818972-6723-46e5-9916-af01c2be5383,4G,1213,65540,156.72,"LINESTRING (1.378797427 38.88051984, 1.384334677393355 38.87050132158264)",True,3,3
ef6eb534-04e9-4265-bc5b-1543f3452634,a4c3eba3-efee-4b4a-86aa-08e76a013113,4G,1198,1198,250.98,"LINESTRING (1.378797427 38.88051984, 1.365715302334365 38.87700757837964)",True,3,2
ef6eb534-04e9-4265-bc5b-1543f3452634,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,4G,1196,1196,76.01,"LINESTRING (1.378797427 38.88051984, 1.3922060476891158 38.88311876253912)",True,3,1
304e1e26-439a-45fb-8837-9a38fdc6ec41,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,2G,1802,1802,319.72,"LINESTRING (1.443926473 38.92045977, 1.4304547494166149 38.932825348001465)",True,3,1
304e1e26-439a-45fb-8837-9a38fdc6ec41,d3943d1d-2fd9-4e0e-82b3-e0d977692844,4G,1915,1916,66.45,"LINESTRING (1.443926473 38.92045977, 1.464216761368047 38.92733764400614)",True,3,2
304e1e26-439a-45fb-8837-9a38fdc6ec41,67e2292b-3bf5-4de7-b734-38b4ad706039,4G,3316,3317,16.26,"LINESTRING (1.443926473 38.92045977, 1.4546617249181488 38.94908719708347)",True,3,3
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,e7356954-eb7e-444d-adde-ea48e0e81129,3G,2330,2330,98.92,"LINESTRING (1.566748446 39.04410963, 1.593396738478233 39.04085669495776)",True,2,1
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,a2f0e1d1-0db2-40ba-adb9-c59a1b1fbc8f,4G,4679,4680,42.53,"LINESTRING (1.566748446 39.04410963, 1.6033916796911398 39.075115914928745)",True,2,2
955bca73-4483-45af-ae38-adddd0751bf7,0222b6a7-350c-46b2-95fd-a3e1c61ee847,4G,551,551,247.68,"LINESTRING (1.444245643 38.9785459, 1.4383532678871531 38.97666489861615)",True,3,1
955bca73-4483-45af-ae38-adddd0751bf7,23131082-f9bf-4ab5-91b3-23111c4bf241,4G,1156,1157,211.17,"LINESTRING (1.444245643 38.9785459, 1.437323756024553 38.96964746065793)",True,3,2
955bca73-4483-45af-ae38-adddd0751bf7,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,4G,2532,2533,177.1,"LINESTRING (1.444245643 38.9785459, 1.4457286594381331 38.95580263820795)",True,3,3
5529ea39-d40f-4c80-a308-07fe2fb85cfa,22d699dd-ade7-497f-9730-432fa3700c46,3G,1160,1165,89.5,"LINESTRING (1.366680989 38.90620842, 1.3800854230256565 38.9062992785694)",True,3,1
5529ea39-d40f-4c80-a308-07fe2fb85cfa,a4c3eba3-efee-4b4a-86aa-08e76a013113,4G,3248,3252,181.47,"LINESTRING (1.366680989 38.90620842, 1.365715302334365 38.87700757837964)",True,3,2
5529ea39-d40f-4c80-a308-07fe2fb85cfa,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,4G,3387,3390,139.28,"LINESTRING (1.366680989 38.90620842, 1.3922060476891158 38.88311876253912)",True,3,3
7a4e4050-b3db-43ab-b487-a7df597ea8ce,dcd0ccdd-5496-41bc-bf1f-94f983a16853,4G,254,257,348.18,"LINESTRING (1.386549067 38.9531428, 1.3859462474310846 38.9553818576673)",True,3,1
7a4e4050-b3db-43ab-b487-a7df597ea8ce,cf18352b-f1f9-47e4-877a-8cc1b7cca651,4G,2377,2381,353.34,"LINESTRING (1.386549067 38.9531428, 1.3833604193535785 38.974372986696494)",True,3,2
7a4e4050-b3db-43ab-b487-a7df597ea8ce,786cabc6-e800-409d-931f-fe3d1e33b522,4G,2487,2491,331.22,"LINESTRING (1.386549067 38.9531428, 1.3727026472159556 38.97274207311786)",True,3,3
386b10fd-d902-4f9a-aa89-70120f982487,23131082-f9bf-4ab5-91b3-23111c4bf241,4G,3784,3787,304.62,"LINESTRING (1.473349019 38.95031751, 1.437323756024553 38.96964746065793)",True,3,1
386b10fd-d902-4f9a-aa89-70120f982487,0222b6a7-350c-46b2-95fd-a3e1c61ee847,4G,4212,4214,314.09,"LINESTRING (1.473349019 38.95031751, 1.4383532678871531 38.97666489861615)",True,3,3
386b10fd-d902-4f9a-aa89-70120f982487,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,2G,4189,4193,242.35,"LINESTRING (1.473349019 38.95031751, 1.4304547494166149 38.932825348001465)",True,3,2
1332292e-3d0f-4aa3-bf72-1a22752dea15,d06017e7-a685-4ad1-be7e-2222dabec53e,4G,128,129,329.57,"LINESTRING (1.350554245 39.05934325, 1.3498006139914798 39.06033953845152)",True,3,1
1332292e-3d0f-4aa3-bf72-1a22752dea15,2fb90cc1-38d3-4aa7-951c-b9a823a63822,4G,5427,5428,165.91,"LINESTRING (1.350554245 39.05934325, 1.3658495004119788 39.01200672696945)",True,3,2
1332292e-3d0f-4aa3-bf72-1a22752dea15,6bcfa4f5-5adb-4667-9789-73b22a9a1af9,4G,11664,11667,182.11,"LINESTRING (1.350554245 39.05934325, 1.3455941961097526 38.9545135868109)",True,3,3
79f29263-c10b-4508-bd87-ad42c04be0d4,a4602e2e-5ce7-4aec-904e-dd17dfc266df,4G,7015,7016,14.36,"LINESTRING (1.485837838 38.98630403, 1.5059844314786863 39.04741599497015)",True,3,1
79f29263-c10b-4508-bd87-ad42c04be0d4,a86e67e6-a035-4c91-a5e0-38ff2e106b7c,4G,7276,7277,13.53,"LINESTRING (1.485837838 38.98630403, 1.505550738571431 39.04991742022339)",True,3,2
79f29263-c10b-4508-bd87-ad42c04be0d4,40e67918-f75f-4a0f-970b-424a85a7859a,3G,8732,8736,15.44,"LINESTRING (1.485837838 38.98630403, 1.512763963981112 39.06199115244186)",True,3,3
a877cb39-2290-48c3-b6a6-0f4feaf0146a,4ea23bde-9f03-4e96-871d-59276323e1c2,3G,1254,1256,122.15,"LINESTRING (1.533819114 38.99388465, 1.546099731137311 38.98788510647062)",True,3,1
a877cb39-2290-48c3-b6a6-0f4feaf0146a,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,4G,1649,1650,22.83,"LINESTRING (1.533819114 38.99388465, 1.5412244794154777 39.00755451913546)",True,3,2
a877cb39-2290-48c3-b6a6-0f4feaf0146a,0334328f-7fcf-4c40-8570-8a2587488d22,2G,1898,1898,2.57,"LINESTRING (1.533819114 38.99388465, 1.5348033104062826 39.010938799772056)",True,3,3
1f8a8a01-714b-40f2-b55d-fbcb916dd75f,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,4G,5802,5803,105.45,"LINESTRING (1.327597846 38.89703316, 1.3922060476891158 38.88311876253912)",True,1,1
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,,,,,,,False,0,1
40a28229-3dbf-4f08-a516-3f46680a2e55,8a4cfe6a-ce1a-4096-84dc-be09b32b8567,4G,875,875,0.79,"LINESTRING (1.308331692 38.86416215, 1.3084716333709348 38.87203255905634)",True,2,1
40a28229-3dbf-4f08-a516-3f46680a2e55,1f80e199-c0dd-4090-944a-d857d689ee0f,3G,1792,1792,60.12,"LINESTRING (1.308331692 38.86416215, 1.3262742986742686 38.8721881823533)",True,2,2
2f4c020c-6569-4220-9152-d47361213edb,559811e1-d2d0-4767-a412-8e09f61a6d25,4G,744,744,289.76,"LINESTRING (1.490407817 39.02439169, 1.4823062425817826 39.02665171598812)",True,3,1
2f4c020c-6569-4220-9152-d47361213edb,194a1da5-5c5b-40ab-8529-3896e18d32af,3G,1666,1666,24.37,"LINESTRING (1.490407817 39.02439169, 1.49836627499455 39.03803633637922)",True,3,3
2f4c020c-6569-4220-9152-d47361213edb,57698fd5-3769-41e9-b2e8-085aefd88b66,3G,1583,1583,65.36,"LINESTRING (1.490407817 39.02439169, 1.5070701846770564 39.03032780100048)",True,3,2
dd214ea7-eb13-4400-907b-b4f9c320b1ae,166dd518-eb60-49fa-bcf3-d53b8a932de9,3G,484,484,118.53,"LINESTRING (1.29261 38.95421761, 1.297525476891083 38.95213926562389)",True,3,1
dd214ea7-eb13-4400-907b-b4f9c320b1ae,1fd92561-71d6-4f82-a50b-314eaeb2bb3a,4G,1370,1372,25.55,"LINESTRING (1.29261 38.95421761, 1.2994456145350086 38.96533694633572)",True,3,2
dd214ea7-eb13-4400-907b-b4f9c320b1ae,0b7e128c-f459-4d22-815f-0e5edbf9bf06,3G,1627,1629,358.42,"LINESTRING (1.29261 38.95421761, 1.2920899576282965 38.968846448477805)",True,3,3
34cb2c0a-8709-4603-afe6-76f630165788,1f80e199-c0dd-4090-944a-d857d689ee0f,3G,4277,4278,130.28,"LINESTRING (1.288587958 38.89706249, 1.3262742986742686 38.8721881823533)",True,2,1
34cb2c0a-8709-4603-afe6-76f630165788,5ef608e3-60c4-4894-8ac2-57ab0d0e55c9,4G,9120,9121,124.29,"LINESTRING (1.288587958 38.89706249, 1.3755994038329078 38.85081993416053)",True,2,2
2e783986-86c8-40c6-905c-837d9112f4f7,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,4G,814,814,62.43,"LINESTRING (1.359549418 38.97096944, 1.3678924622333437 38.97435594411141)",True,3,1
2e783986-86c8-40c6-905c-837d9112f4f7,786cabc6-e800-409d-931f-fe3d1e33b522,4G,1154,1154,80.16,"LINESTRING (1.359549418 38.97096944, 1.3727026472159556 38.97274207311786)",True,3,2
2e783986-86c8-40c6-905c-837d9112f4f7,82e53aaa-57c5-4437-898c-3c8d5c2e8336,3G,1811,1811,326.11,"LINESTRING (1.359549418 38.97096944, 1.3478684724215728 38.98448764654776)",True,3,3
